Timestamp,Amount,Merchant,Location,IsFraud
11-03-2022 07:51,9332.99,Keer PLC,Kalyan-Dombivli,TRUE
13-11-2022 07:08,8296.06,"Ghosh, Yohannan and Ramesh",Ichalkaranji,FALSE
23-04-2023 01:14,1234.03,"Mahajan, Sengupta and Jain",Unnao,FALSE
03-05-2023 01:13,785.31,Srinivasan and Sons,Dehri,TRUE
12-10-2020 02:58,6956.48,Bhatnagar-Gara,Chapra,TRUE
15-04-2023 12:25,1537.69,Yogi LLC,Coimbatore,TRUE
11-08-2022 01:18,3294.69,Sem-Gopal,Haridwar,FALSE
15-03-2020 19:55,2215.29,Suri-Khosla,Kumbakonam,TRUE
29-09-2023 04:38,3312.08,"Badami, Kashyap and Mandal",Yamunanagar,TRUE
30-08-2023 03:13,9443.64,Cherian-Brar,Bhalswa Jahangir Pur,TRUE
28-12-2023 18:05,1022.51,Bhardwaj Inc,Khammam,TRUE
18-04-2022 19:54,2246.99,"Anne, Tiwari and Chanda",Amaravati,TRUE
12-09-2022 09:17,2974.58,Dua Group,Siliguri,TRUE
05-06-2022 20:53,958.29,"Agarwal, Magar and Tak",Kottayam,TRUE
25-07-2022 00:31,8321.41,"Doctor, Gala and Suresh",Sangli-Miraj & Kupwad,FALSE
10-12-2020 14:44,4392.69,"Sandhu, Ahuja and Sunder",Kakinada,TRUE
04-01-2020 11:00,823.53,Amble-Goswami,Barasat,FALSE
13-02-2023 21:18,9244.67,Venkataraman-Kota,Loni,FALSE
16-12-2022 12:06,801.13,"Borde, Bakshi and Borde",Tadepalligudem,TRUE
20-04-2023 04:40,8142.98,"Ahluwalia, Singh and Manne",Udaipur,FALSE
14-12-2023 05:44,6994.53,Yadav LLC,Raiganj,FALSE
15-04-2022 16:58,500.32,Madan and Sons,Bhavnagar,TRUE
19-10-2021 10:26,2436.86,"Banerjee, Saran and Chaudhry",Vijayanagaram,TRUE
29-06-2023 09:35,8989.75,Vala Group,Dewas,TRUE
24-05-2023 01:42,5955.28,"Tripathi, Rattan and Dani",South Dumdum,TRUE
18-12-2023 09:44,5717.19,Chandra-Yadav,Bhubaneswar,FALSE
27-04-2020 13:59,7311.41,Ben-Dugar,Gaya,TRUE
14-08-2021 15:36,7937.99,Dass-Sekhon,Nagpur,FALSE
02-04-2022 22:09,5266.1,Dugal-Vala,Jamalpur,TRUE
29-06-2020 11:40,5172.9,"Dhaliwal, Gokhale and Goda",Arrah,FALSE
21-05-2022 04:08,183.08,Date and Sons,Etawah,FALSE
26-12-2021 13:38,1367.82,Bora-Sagar,Madhyamgram,TRUE
24-08-2023 02:04,3243.49,Din-Ranganathan,Ajmer,TRUE
21-10-2021 04:29,7799.35,"Dhaliwal, Bhasin and Sekhon",Indore,FALSE
22-11-2023 02:37,3377.82,Dhar LLC,Khora ,TRUE
02-04-2021 21:51,6510.31,Hayer LLC,Sasaram,TRUE
30-05-2022 08:14,1656.21,"Dada, Krishnan and Sant",Maheshtala,FALSE
20-08-2022 11:40,8783.62,Bhat Ltd,Bhilwara,TRUE
02-05-2021 05:21,3624.86,Sant-Varghese,Mirzapur,FALSE
12-08-2022 06:23,1442.96,Bhat-Sule,Farrukhabad,TRUE
19-06-2020 22:20,7341.31,"Master, Sengupta and Kapadia",Panipat,TRUE
15-09-2023 08:27,5106.19,D’Alia LLC,Bokaro,FALSE
11-12-2022 12:12,8625.38,"Sood, Roy and Jhaveri",Nandyal,TRUE
06-01-2020 07:17,8923.5,Samra LLC,Mysore,FALSE
27-02-2021 16:28,5705.1,"Edwin, Amble and Keer",Saharanpur,FALSE
31-03-2022 01:28,7108.92,"Jaggi, Lal and Warrior",Katihar,TRUE
18-03-2022 16:07,6499.86,"Sha, Mall and Uppal",Hospet,FALSE
09-09-2021 00:03,3726.58,Bains Group,Bettiah,TRUE
20-09-2021 05:27,9120.37,"Kant, Vaidya and Kibe",Hospet,FALSE
03-03-2023 10:50,9627.21,Mane-Tara,Chittoor,TRUE
01-07-2021 01:14,6986.15,Savant-Badal,Asansol,TRUE
23-03-2022 02:59,7265.39,Bhargava-Mangal,Sirsa,TRUE
04-11-2020 12:46,2119.12,Borde-Sathe,Gurgaon,TRUE
10-05-2020 14:13,3737.61,Mall-Dass,Pune,FALSE
28-10-2023 03:05,6090.09,Loke Group,Tiruchirappalli,TRUE
09-02-2021 09:51,5253.23,Halder PLC,Hospet,FALSE
05-04-2020 09:23,1269.49,Bhattacharyya-Bobal,Akola,FALSE
23-08-2021 02:59,7607.42,"Loke, Anne and Devi",Rajkot,FALSE
